127.0.0.1 - - [12/Jul/2016:14:28:20 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:21 -0300] "GET /Proyecto/index.html HTTP/1.1" 200 4276
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/css/landing-page.css HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/css/bootstrap-responsive.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/css/estilo.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/js/jquery.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/js/jquery.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/img/intro-bg.jpg HTTP/1.1" 200 1156985
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:22 -0300] "GET /Proyecto/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [12/Jul/2016:14:28:23 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
