127.0.0.1 - - [25/Aug/2016:19:54:20 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:23 -0300] "GET /jyaa_2016_grupo06_final/faces/index.xhtml HTTP/1.1" 200 4697
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:24 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:54:30 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/registro.xhtml HTTP/1.1" 200 10851
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/css/bootstrap-responsive.min.css HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/css/estilo.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [25/Aug/2016:19:55:19 -0300] "GET /jyaa_2016_grupo06_final/faces/js/jquery.js HTTP/1.1" 404 1074
