127.0.0.1 - - [21/Sep/2016:13:09:20 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/bootstrap-responsive.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/estilo.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:21 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:22 -0300] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/registro.xhtml HTTP/1.1" 200 10951
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/bootstrap-responsive.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/estilo.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/bootstrap-responsive.min.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/css/estilo.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [21/Sep/2016:13:09:25 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/js/jquery.js HTTP/1.1" 404 1086
