127.0.0.1 - - [16/Oct/2016:12:48:53 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:05 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:05 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:08 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/login.xhtml HTTP/1.1" 200 5050
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:08 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:12 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:12 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:15 -0300] "GET /jyaa_2016_grupo06_final/faces/CerrarSesion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:15 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/index.xhtml HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:15 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:16 -0300] "GET /jyaa_2016_grupo06_final/faces/Home/login.xhtml HTTP/1.1" 200 5050
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:16 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:22 -0300] "POST /jyaa_2016_grupo06_final/faces/Login HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:22 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/admin_listaUsuarios.xhtml HTTP/1.1" 200 14815
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:49:28 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/images/ui-icons_333333_256x240.png?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:50:59 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/admin_listaUsuarios.xhtml HTTP/1.1" 200 14815
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/theme.css?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/css/sb-admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/LoginAdmin/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:12:51:00 -0300] "GET /jyaa_2016_grupo06_final/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
